,carat,cut,color,clarity,depth,table,price,x,y,z,hold
12176,1.02,Premium,E,SI1,62.6,58.0,5183,6.44,6.47,4.05,1.0
12181,1.23,Premium,H,SI1,62.1,58.0,5183,6.85,6.78,4.23,1.0
12183,1.21,Premium,I,SI2,62.7,55.0,5184,6.84,6.79,4.27,1.0
12186,1.01,Fair,E,SI1,56.8,61.0,5185,6.59,6.62,3.75,1.0
12187,1.01,Very Good,H,VS2,62.0,59.0,5186,6.45,6.48,4.01,1.0
12192,1.06,Ideal,H,SI1,61.7,56.0,5188,6.58,6.55,4.05,1.0
12197,1.01,Premium,H,VS2,61.0,61.0,5190,6.47,6.39,3.92,1.0
12204,1.01,Very Good,G,SI1,63.7,60.0,5192,6.31,6.35,4.03,1.0
12205,1.11,Very Good,H,SI1,60.8,60.0,5192,6.62,6.77,4.07,1.0
12206,1.11,Very Good,H,SI1,63.2,58.0,5192,6.53,6.61,4.15,1.0
12211,1.15,Very Good,E,SI2,63.1,63.0,5193,6.63,6.53,4.15,1.0
12212,1.15,Premium,E,SI2,61.7,59.0,5193,6.7,6.66,4.12,1.0
12219,1.0,Premium,F,SI1,61.2,58.0,5197,6.4,6.44,3.93,1.0
12221,1.0,Ideal,F,SI1,62.0,57.0,5197,6.37,6.43,3.97,1.0
12228,1.0,Premium,F,SI1,62.6,60.0,5197,6.3,6.32,3.95,1.0
12230,1.05,Very Good,G,SI1,61.6,57.0,5197,6.51,6.54,4.02,1.0
12232,1.02,Good,D,SI1,57.2,54.0,5198,6.66,6.62,3.8,1.0
12234,1.02,Premium,D,SI2,59.7,60.0,5198,6.58,6.55,3.92,1.0
12235,1.02,Very Good,D,SI1,63.2,58.0,5198,6.41,6.35,4.03,1.0
12237,1.01,Premium,H,VS1,62.7,58.0,5199,6.37,6.39,4.0,1.0
12239,1.1,Ideal,I,SI1,61.6,55.0,5199,6.66,6.68,4.11,1.0
12241,1.01,Ideal,H,SI1,60.4,58.0,5200,6.47,6.5,3.92,1.0
12242,0.9,Good,E,VS1,62.7,58.0,5201,6.07,6.12,3.82,1.0
12245,1.01,Premium,F,SI1,61.7,58.0,5202,6.44,6.39,3.96,1.0
12257,1.03,Ideal,I,VS1,60.9,56.0,5206,6.52,6.59,3.99,1.0
12270,1.23,Premium,J,VS1,60.1,60.0,5209,6.9,6.95,4.16,1.0
12271,1.29,Very Good,J,SI1,61.2,58.0,5209,6.97,7.02,4.28,1.0
12282,1.33,Premium,H,SI2,61.9,58.0,5214,7.07,7.01,4.36,1.0
12283,1.36,Very Good,J,SI2,62.6,58.0,5215,7.0,7.12,4.42,1.0
12284,1.01,Ideal,F,SI1,59.9,60.0,5215,6.59,6.53,3.93,1.0
12287,1.23,Very Good,J,VS2,62.9,58.0,5217,6.75,6.83,4.27,1.0
12288,1.02,Very Good,H,VS2,62.5,56.0,5217,6.42,6.45,4.02,1.0
12292,1.21,Premium,H,SI2,61.9,55.0,5218,6.84,6.79,4.22,1.0
12294,0.9,Very Good,F,VS2,61.8,57.0,5218,6.16,6.23,3.83,1.0
12295,1.1,Very Good,F,VS2,63.5,55.0,5218,6.58,6.52,4.16,1.0
12296,1.21,Premium,H,SI2,60.9,61.0,5218,6.88,6.82,4.17,1.0
12301,1.0,Good,H,VS1,61.8,61.0,5219,6.4,6.31,3.93,1.0
12303,1.09,Ideal,H,SI1,62.3,55.0,5219,6.61,6.58,4.11,1.0
12305,1.09,Ideal,H,SI1,61.1,57.0,5219,6.69,6.6,4.1,1.0
12306,1.09,Ideal,H,SI1,62.5,56.0,5219,6.58,6.53,4.1,1.0
12309,1.07,Ideal,H,SI1,62.1,57.0,5220,6.5,6.55,4.05,1.0
12312,1.24,Ideal,I,SI2,61.9,57.0,5221,6.87,6.92,4.27,1.0
12314,1.0,Ideal,F,SI1,62.7,57.0,5221,6.44,6.38,4.02,1.0
12315,1.11,Good,I,VVS2,60.1,64.0,5221,6.73,6.62,4.02,1.0
12321,1.15,Ideal,G,SI1,61.7,56.0,5224,6.72,6.76,4.16,1.0
12322,1.01,Very Good,E,SI1,59.5,60.0,5224,6.49,6.55,3.88,1.0
12323,1.01,Very Good,E,SI1,62.3,60.0,5224,6.36,6.39,3.97,1.0
12329,1.1,Very Good,D,SI2,61.6,57.0,5226,6.61,6.67,4.09,1.0
12331,1.01,Good,E,SI1,63.6,60.0,5226,6.38,6.32,4.04,1.0
12332,1.01,Very Good,E,SI1,63.4,60.0,5226,6.34,6.3,4.01,1.0
12334,1.01,Premium,E,SI1,59.0,59.0,5226,6.6,6.56,3.88,1.0
12338,1.22,Ideal,I,SI2,61.3,57.0,5226,6.91,6.85,4.22,1.0
12340,1.01,Premium,E,SI1,60.5,62.0,5226,6.5,6.46,3.92,1.0
12344,1.01,Fair,F,VS2,64.5,58.0,5226,6.28,6.18,4.02,1.0
12346,1.0,Very Good,G,VS2,62.8,57.0,5227,6.33,6.37,3.99,1.0
12348,1.05,Premium,H,SI1,61.3,58.0,5228,6.52,6.47,3.98,1.0
12354,1.24,Very Good,H,SI2,61.0,59.0,5231,6.93,7.0,4.25,1.0
12359,1.11,Ideal,G,SI2,60.7,59.0,5231,6.72,6.76,4.09,1.0
12360,0.26,Very Good,E,VVS2,63.0,58.0,597,4.0,4.03,2.53,1.0
12367,0.26,Very Good,E,VVS1,61.4,58.0,597,4.12,4.15,2.54,1.0
12368,0.26,Very Good,E,VVS1,59.9,58.0,597,4.17,4.18,2.5,1.0
12370,0.26,Ideal,E,VVS2,60.7,56.0,597,4.13,4.17,2.52,1.0
12371,0.4,Ideal,F,SI2,62.5,53.0,597,4.71,4.76,2.96,1.0
12372,0.4,Ideal,F,SI2,62.0,57.0,597,4.7,4.72,2.92,1.0
12379,0.39,Very Good,G,SI2,63.2,57.0,597,4.65,4.57,2.92,1.0
12383,0.35,Ideal,I,VVS2,61.5,55.0,598,4.53,4.57,2.8,1.0
12385,0.33,Ideal,G,VS2,61.3,57.0,598,4.45,4.49,2.74,1.0
12389,0.28,Ideal,F,VS1,62.0,57.0,598,4.19,4.23,2.61,1.0
12391,1.01,Premium,G,SI1,60.2,59.0,5232,6.54,6.49,3.92,1.0
12392,1.21,Ideal,J,SI1,60.4,54.0,5232,6.86,6.89,4.15,1.0
12393,1.07,Ideal,G,SI1,62.1,57.0,5232,6.59,6.52,4.07,1.0
12395,1.13,Ideal,F,SI2,61.8,57.0,5232,6.71,6.68,4.14,1.0
12399,1.12,Premium,G,SI1,60.1,58.0,5233,6.78,6.83,4.09,1.0
12400,1.12,Premium,D,SI2,60.5,59.0,5233,6.72,6.76,4.08,1.0
12401,1.12,Very Good,D,SI2,61.2,60.0,5233,6.63,6.67,4.07,1.0
12402,1.01,Good,E,SI1,58.6,62.0,5233,6.58,6.6,3.86,1.0
12403,1.01,Good,E,SI1,57.9,57.0,5233,6.6,6.67,3.84,1.0
12405,1.03,Ideal,E,SI1,62.2,57.0,5234,6.42,6.48,4.01,1.0
12409,1.01,Ideal,E,SI1,62.0,57.0,5235,6.38,6.45,3.98,1.0
12413,1.12,Very Good,H,SI1,62.3,55.0,5236,6.64,6.69,4.15,1.0
12414,1.06,Premium,H,VS1,60.0,58.0,5236,6.65,6.61,3.98,1.0
12415,1.06,Premium,F,SI1,61.0,58.0,5236,6.65,6.6,4.04,1.0
12416,1.29,Ideal,J,SI1,61.6,57.0,5237,7.0,7.06,4.33,1.0
12418,1.09,Premium,E,SI1,62.7,58.0,5237,6.6,6.55,4.12,1.0
12420,1.09,Ideal,H,SI1,62.3,55.0,5238,6.58,6.62,4.11,1.0
12430,1.0,Premium,G,VS2,62.3,58.0,5242,6.35,6.29,3.94,1.0
12431,1.0,Good,G,VS2,63.8,58.0,5242,6.37,6.29,4.04,1.0
12435,1.3,Good,J,SI1,64.0,58.0,5242,6.91,6.84,4.4,1.0
12437,1.0,Good,G,VS2,58.6,65.0,5242,6.61,6.53,3.85,1.0
12439,1.2,Ideal,H,VS1,61.9,57.0,5242,6.77,6.73,4.18,1.0
12440,1.0,Premium,G,VS2,60.8,58.0,5242,6.44,6.4,3.9,1.0
12441,0.9,Ideal,E,VS1,61.3,57.0,5242,6.24,6.2,3.81,1.0
12450,1.02,Very Good,E,SI1,63.5,55.0,5245,6.3,6.37,4.02,1.0
12451,1.21,Very Good,I,SI1,62.9,56.0,5245,6.73,6.79,4.25,1.0
12455,1.0,Very Good,H,SI1,62.1,58.0,5247,6.44,6.45,4.0,1.0
12461,1.01,Premium,F,SI1,62.2,59.0,5249,6.36,6.41,3.97,1.0
12462,1.27,Premium,I,SI2,61.4,59.0,5249,6.98,6.94,4.27,1.0
12463,1.03,Premium,G,SI1,58.4,58.0,5249,6.66,6.62,3.88,1.0
12465,1.03,Ideal,D,SI1,62.3,56.0,5249,6.51,6.45,4.04,1.0
12472,1.08,Premium,H,VS2,62.4,58.0,5250,6.56,6.49,4.07,1.0
12473,0.77,Ideal,E,VVS1,61.6,55.0,5251,5.87,5.95,3.64,1.0
12477,1.01,Very Good,D,SI2,59.9,61.0,5252,6.46,6.5,3.88,1.0
12478,1.25,Ideal,J,SI1,62.4,57.0,5252,6.86,6.92,4.3,1.0
12481,1.21,Good,I,SI1,62.7,59.0,5252,6.63,6.71,4.18,1.0
12483,1.06,Ideal,D,SI2,62.3,55.0,5253,6.54,6.5,4.06,1.0
12484,1.07,Very Good,H,VS2,61.5,57.0,5254,6.57,6.63,4.06,1.0
12485,1.0,Good,H,VS2,60.9,61.0,5254,6.38,6.42,3.9,1.0
12495,1.2,Very Good,H,SI2,62.9,56.0,5257,6.74,6.77,4.25,1.0
12500,1.02,Premium,D,SI2,60.2,58.0,5257,6.56,6.53,3.94,1.0
12502,1.09,Premium,D,SI2,61.2,60.0,5258,6.64,6.6,4.05,1.0
12503,1.09,Ideal,D,SI2,62.1,56.0,5258,6.59,6.56,4.08,1.0
12505,0.91,Very Good,E,VS1,61.9,59.0,5259,6.17,6.23,3.84,1.0
12512,1.01,Very Good,H,VS2,63.2,58.0,5260,6.34,6.26,3.98,1.0
12513,1.16,Ideal,H,SI2,62.2,55.7,5260,6.68,6.74,4.18,1.0
12516,1.01,Very Good,H,VS2,63.1,59.0,5260,6.34,6.3,3.99,1.0
12517,1.01,Ideal,H,VS2,62.7,56.0,5260,6.4,6.35,4.0,1.0
12521,1.09,Ideal,H,SI1,61.9,57.0,5262,6.58,6.63,4.09,1.0
12525,1.07,Very Good,H,VS2,62.7,57.0,5264,6.48,6.53,4.08,1.0
12528,1.24,Premium,J,VS2,61.8,57.6,5265,6.84,6.88,4.24,1.0
12534,1.02,Ideal,D,SI1,62.3,56.0,5266,6.49,6.45,4.03,1.0
12535,1.21,Very Good,J,VS1,60.9,60.0,5267,6.87,6.9,4.19,1.0
12536,1.09,Ideal,D,SI2,61.3,57.0,5267,6.64,6.67,4.08,1.0
12539,1.5,Fair,J,SI2,65.5,60.0,5268,7.07,7.03,4.62,1.0
12541,1.5,Premium,J,SI2,62.6,56.0,5268,7.24,7.11,4.51,1.0
12543,1.23,Premium,I,SI2,62.4,58.0,5269,6.86,6.82,4.27,1.0
12545,1.23,Premium,I,SI2,62.5,60.0,5269,6.82,6.75,4.24,1.0
12546,1.15,Very Good,H,SI1,62.4,57.0,5270,6.68,6.71,4.18,1.0
12554,1.01,Ideal,F,SI1,60.0,56.0,5274,6.55,6.49,3.91,1.0
12561,1.24,Premium,H,SI2,60.4,59.0,5277,6.99,6.92,4.2,1.0
12562,1.52,Ideal,H,SI2,59.9,55.0,5277,7.54,7.45,4.49,1.0
12564,1.06,Ideal,H,SI1,63.0,55.0,5278,6.49,6.44,4.08,1.0
12570,1.01,Good,G,VS2,63.8,57.0,5279,6.27,6.34,4.02,1.0
12574,1.13,Premium,D,SI2,62.0,58.0,5280,6.64,6.68,4.13,1.0
12576,1.2,Very Good,H,SI2,62.1,59.0,5280,6.75,6.8,4.21,1.0
12581,1.07,Ideal,E,SI2,62.4,60.0,5280,6.49,6.52,4.06,1.0
12583,1.07,Ideal,H,SI1,61.0,56.0,5281,6.6,6.68,4.05,1.0
12589,1.11,Premium,F,SI2,62.2,57.0,5284,6.67,6.61,4.13,1.0
12590,1.04,Good,E,SI1,63.5,56.0,5285,6.37,6.41,4.06,1.0
12596,1.08,Very Good,H,SI1,63.4,57.0,5286,6.54,6.51,4.14,1.0
12599,1.02,Very Good,F,SI1,60.9,57.0,5287,6.52,6.56,3.98,1.0
12602,0.75,Ideal,F,VVS1,60.6,57.0,5288,5.88,5.94,3.59,1.0
12604,1.01,Premium,G,VS2,60.9,55.0,5288,6.5,6.48,3.95,1.0
12609,1.21,Very Good,F,SI2,62.7,57.0,5290,6.74,6.81,4.25,1.0
12610,1.04,Very Good,F,SI1,60.1,62.0,5290,6.54,6.6,3.95,1.0
12611,1.28,Premium,J,SI1,61.9,56.0,5290,7.13,7.0,4.37,1.0
12615,1.12,Premium,H,SI1,62.0,56.0,5291,6.68,6.61,4.12,1.0
12616,1.12,Premium,H,SI1,61.9,59.0,5291,6.66,6.52,4.08,1.0
12617,1.1,Ideal,I,VS1,60.8,58.0,5291,6.68,6.63,4.04,1.0
12619,1.0,Premium,F,SI1,58.6,58.0,5292,6.56,6.52,3.83,1.0
12622,1.0,Premium,F,SI1,60.5,56.0,5292,6.48,6.45,3.91,1.0
12623,1.04,Premium,D,SI2,62.4,56.0,5292,6.5,6.45,4.04,1.0
12627,1.26,Premium,I,SI1,60.5,62.0,5292,6.97,6.92,4.2,1.0
12628,1.0,Premium,F,SI1,62.6,60.0,5292,6.32,6.3,3.95,1.0
12631,1.0,Premium,F,SI1,62.3,59.0,5292,6.43,6.37,3.99,1.0
12632,1.0,Premium,F,SI1,60.3,58.0,5292,6.47,6.43,3.89,1.0
12637,1.0,Ideal,F,SI1,61.9,56.0,5292,6.41,6.36,3.95,1.0
12641,1.06,Good,I,VS1,57.5,62.0,5293,6.71,6.83,3.9,1.0
12645,1.01,Fair,G,VS2,68.9,60.0,5294,6.06,6.02,4.17,1.0
12647,1.01,Premium,H,VS1,62.7,58.0,5294,6.39,6.37,4.0,1.0
12651,1.22,Ideal,J,VS2,62.1,58.0,5297,6.82,6.84,4.24,1.0
12653,1.0,Good,E,SI1,63.2,57.0,5299,6.36,6.39,4.03,1.0
12654,1.0,Premium,E,SI1,60.5,59.0,5299,6.4,6.45,3.89,1.0
12656,1.25,Premium,J,VS2,62.2,59.0,5299,6.86,6.88,4.27,1.0
12657,1.04,Premium,F,SI1,62.2,60.0,5300,6.48,6.44,4.02,1.0
12659,1.02,Good,F,SI1,63.2,59.0,5301,6.35,6.38,4.02,1.0
12663,1.16,Ideal,G,SI2,61.5,54.0,5301,6.78,6.75,4.16,1.0
12667,1.16,Ideal,I,VS2,61.5,57.0,5302,6.78,6.75,4.16,1.0
12669,1.07,Ideal,G,SI1,62.2,57.0,5303,6.59,6.56,4.09,1.0
12674,1.09,Very Good,G,SI1,60.2,60.0,5305,6.66,6.7,4.02,1.0
12677,1.09,Premium,I,VS2,60.1,59.0,5306,6.74,6.67,4.03,1.0
12679,1.15,Ideal,H,SI2,62.5,58.0,5306,6.65,6.69,4.17,1.0
12683,1.21,Very Good,G,SI2,62.7,59.0,5308,6.66,6.74,4.2,1.0
12684,1.01,Good,F,SI1,63.9,59.0,5309,6.29,6.32,4.03,1.0
12688,1.04,Premium,H,SI1,60.7,62.0,5311,6.57,6.51,3.97,1.0
12694,0.4,Ideal,J,VS2,62.2,54.0,599,4.75,4.8,2.97,1.0
12697,0.38,Ideal,D,SI2,62.0,53.0,599,4.68,4.71,2.91,1.0
12698,0.3,Fair,F,SI1,64.6,56.0,599,4.27,4.25,2.75,1.0
12702,0.26,Very Good,E,VVS1,62.9,58.0,599,4.06,4.08,2.56,1.0
12703,0.26,Ideal,E,VVS1,62.0,56.0,599,4.09,4.13,2.55,1.0
12704,0.26,Ideal,E,VVS1,61.7,57.0,599,4.07,4.1,2.52,1.0
12707,0.26,Ideal,F,VVS1,61.6,57.0,599,4.08,4.1,2.52,1.0
12711,0.26,Ideal,D,VVS2,61.4,56.0,599,4.12,4.15,2.54,1.0
12712,0.26,Ideal,E,VVS2,61.5,56.0,599,4.08,4.11,2.52,1.0
12713,0.26,Ideal,E,VVS2,62.3,57.0,599,4.06,4.09,2.54,1.0
12714,0.26,Ideal,E,VVS2,62.0,56.0,599,4.1,4.13,2.55,1.0
12725,0.9,Premium,E,VS2,59.5,58.0,5312,6.33,6.28,3.75,1.0
12733,1.18,Good,D,SI2,61.7,63.0,5315,6.67,6.72,4.13,1.0
12739,1.13,Premium,I,VS1,61.7,54.0,5316,6.74,6.71,4.15,1.0
12750,1.0,Very Good,D,SI1,63.2,59.0,5320,6.29,6.4,4.01,1.0
12751,1.0,Premium,H,VS2,62.6,59.0,5320,6.37,6.31,3.97,1.0
12752,1.2,Very Good,G,SI2,62.9,54.0,5321,6.76,6.79,4.26,1.0
12754,1.04,Ideal,F,SI1,61.3,55.0,5321,6.51,6.53,4.0,1.0
12756,1.0,Very Good,E,SI1,59.4,63.0,5322,6.47,6.42,3.83,1.0
12757,1.2,Very Good,I,VS1,63.1,58.0,5322,6.7,6.62,4.2,1.0
12760,1.21,Premium,H,SI2,62.7,59.0,5324,6.75,6.78,4.24,1.0
12766,1.11,Ideal,H,SI1,60.6,59.0,5325,6.75,6.71,4.08,1.0
12770,1.08,Ideal,F,SI1,62.7,57.0,5327,6.52,6.49,4.08,1.0
12772,1.06,Very Good,E,SI1,59.6,57.0,5328,6.62,6.67,3.96,1.0
12773,1.11,Ideal,I,SI1,61.9,55.0,5329,6.65,6.66,4.12,1.0
12775,1.12,Premium,G,SI1,59.8,58.0,5329,6.79,6.76,4.05,1.0
12776,1.22,Ideal,I,SI1,62.1,56.0,5329,6.83,6.79,4.23,1.0
12784,1.0,Ideal,E,SI1,61.6,57.0,5331,6.37,6.45,3.95,1.0
12786,1.0,Fair,D,SI1,65.5,60.0,5331,6.18,6.12,4.03,1.0
12787,1.0,Good,D,SI1,58.5,64.0,5331,6.53,6.49,3.81,1.0
12790,1.25,Premium,I,VS1,59.4,60.0,5331,7.1,7.03,4.2,1.0
12791,1.2,Premium,F,SI2,62.5,59.0,5332,6.74,6.68,4.2,1.0
12799,1.03,Ideal,G,SI1,62.5,57.0,5337,6.4,6.49,4.03,1.0
12802,1.13,Premium,H,SI1,61.4,59.0,5338,6.73,6.68,4.12,1.0
12807,1.21,Ideal,J,SI1,61.9,54.0,5341,6.85,6.88,4.25,1.0
12809,0.91,Very Good,D,SI1,62.0,59.0,5342,6.19,6.16,3.83,1.0
12813,1.04,Premium,H,VS2,59.6,58.0,5344,6.63,6.55,3.93,1.0
12822,1.02,Premium,G,VS2,61.5,59.0,5346,6.45,6.4,3.95,1.0
12824,1.1,Ideal,H,VS2,60.5,57.0,5347,6.73,6.7,4.06,1.0
12825,1.07,Ideal,G,SI1,61.9,55.0,5347,6.57,6.62,4.08,1.0
12827,1.05,Ideal,F,SI2,61.9,56.0,5347,6.48,6.5,4.02,1.0
12829,1.02,Fair,E,VS2,66.6,57.0,5350,6.09,6.14,4.07,1.0
12833,1.5,Premium,J,SI2,61.3,59.0,5351,7.38,7.33,4.51,1.0
12836,1.05,Ideal,I,VVS2,61.8,54.0,5352,6.55,6.57,4.05,1.0
12837,1.08,Ideal,G,SI1,61.8,56.0,5352,6.58,6.55,4.06,1.0
12838,1.08,Ideal,D,SI2,61.6,57.0,5352,6.62,6.58,4.07,1.0
12839,1.04,Very Good,G,VS2,61.4,63.0,5353,6.51,6.55,4.01,1.0
12843,1.25,Ideal,I,SI2,62.0,57.0,5355,6.92,6.85,4.27,1.0
12846,1.03,Ideal,F,SI1,62.8,56.0,5356,6.38,6.46,4.03,1.0
12847,1.22,Good,J,VS1,58.5,61.0,5356,6.94,7.0,4.08,1.0
12851,1.34,Ideal,J,SI2,62.0,56.0,5358,7.09,7.03,4.38,1.0
12858,1.1,Ideal,G,SI2,62.1,58.0,5361,6.61,6.63,4.11,1.0
12859,1.05,Ideal,G,SI1,61.9,56.0,5361,6.51,6.55,4.04,1.0
12861,1.11,Good,J,IF,58.3,62.0,5361,6.77,6.84,3.97,1.0
12867,1.12,Premium,H,SI1,61.6,59.0,5363,6.67,6.63,4.1,1.0
12868,1.26,Ideal,I,SI2,62.0,56.0,5363,7.0,6.94,4.32,1.0
12870,1.09,Ideal,D,SI2,62.4,57.0,5364,6.55,6.6,4.1,1.0
12874,1.03,Premium,H,VS2,61.6,61.0,5364,6.51,6.44,3.99,1.0
12878,1.17,Premium,F,SI1,61.9,60.0,5366,6.72,6.66,4.14,1.0
12881,1.07,Very Good,H,SI1,60.4,58.0,5367,6.67,6.73,4.05,1.0
12883,1.22,Premium,I,SI1,62.1,59.0,5368,6.8,6.86,4.24,1.0
12884,1.22,Premium,I,SI1,61.2,59.0,5368,6.86,6.9,4.21,1.0
12886,1.13,Very Good,J,VS1,62.1,59.0,5370,6.64,6.71,4.14,1.0
12888,1.05,Very Good,H,VS2,59.0,59.0,5370,6.68,6.71,3.95,1.0
12889,1.1,Ideal,H,SI1,62.0,57.0,5370,6.66,6.7,4.14,1.0
12890,1.37,Premium,J,VS1,60.0,62.0,5370,7.24,7.21,4.33,1.0
12891,1.27,Very Good,I,SI2,59.7,57.0,5371,6.99,7.04,4.19,1.0
12894,1.01,Ideal,E,SI1,62.1,57.0,5372,6.4,6.45,3.99,1.0
12897,1.07,Ideal,I,VS1,62.0,53.0,5373,6.61,6.62,4.1,1.0
12898,1.2,Ideal,I,SI2,61.1,57.0,5373,6.86,6.89,4.2,1.0
12900,1.06,Ideal,H,VS2,61.2,55.0,5373,6.61,6.57,4.03,1.0
12905,1.08,Very Good,H,SI1,61.8,53.0,5375,6.62,6.63,4.09,1.0
12908,1.2,Premium,I,VVS2,63.0,60.0,5376,6.71,6.63,4.2,1.0
12909,1.2,Very Good,J,VS1,63.1,59.0,5376,6.75,6.65,4.23,1.0
12912,1.13,Premium,D,SI2,62.0,58.0,5376,6.68,6.64,4.13,1.0
12915,1.2,Ideal,I,SI1,63.5,61.0,5376,6.75,6.71,4.27,1.0
12918,1.2,Premium,H,SI2,62.5,58.0,5376,6.81,6.76,4.24,1.0
12920,1.2,Premium,H,SI2,62.0,58.0,5376,6.91,6.76,4.24,1.0
12922,1.03,Ideal,I,VS2,61.2,56.0,5378,6.5,6.51,3.98,1.0
12923,1.13,Ideal,I,SI2,62.0,55.0,5378,6.68,6.7,4.15,1.0
12925,1.01,Good,F,SI1,62.4,59.0,5378,6.29,6.33,3.94,1.0
12928,1.04,Very Good,E,SI1,63.5,56.0,5381,6.41,6.37,4.06,1.0
12929,1.24,Premium,D,SI2,59.9,59.0,5382,7.01,6.95,4.18,1.0
12932,1.02,Very Good,H,VS2,62.4,57.0,5383,6.43,6.35,3.99,1.0
12936,1.0,Good,E,SI1,58.0,60.0,5384,6.48,6.52,3.77,1.0
12938,1.15,Premium,G,SI1,63.0,59.0,5384,6.68,6.63,4.19,1.0
12941,1.2,Ideal,G,SI2,62.2,56.0,5385,6.74,6.84,4.22,1.0
12943,1.01,Fair,D,SI1,66.0,57.0,5385,6.29,6.22,4.13,1.0
12952,1.01,Ideal,G,SI1,61.2,57.0,5387,6.44,6.5,3.96,1.0
12954,1.21,Premium,F,SI2,61.5,61.0,5387,6.82,6.77,4.18,1.0
12956,1.0,Premium,H,VS1,61.5,57.0,5387,6.44,6.37,3.94,1.0
12959,1.16,Ideal,H,SI2,60.9,59.0,5388,6.72,6.78,4.11,1.0
12963,1.0,Very Good,D,SI1,61.3,54.0,5390,6.37,6.39,3.91,1.0
12967,1.25,Premium,I,SI1,59.7,59.0,5390,7.03,6.97,4.18,1.0
12971,1.02,Very Good,H,VS2,60.6,60.0,5393,6.55,6.48,3.95,1.0
12973,1.03,Very Good,E,SI2,61.7,54.9,5393,6.46,6.52,4.01,1.0
12974,1.03,Very Good,D,SI1,61.8,57.0,5393,6.49,6.53,4.02,1.0
12975,1.07,Ideal,E,SI2,61.4,57.0,5393,6.62,6.57,4.05,1.0
12979,1.25,Ideal,I,SI2,61.4,55.0,5395,6.92,6.99,4.27,1.0
12981,1.11,Premium,H,VS2,60.9,57.0,5395,6.77,6.69,4.1,1.0
12983,1.11,Ideal,G,SI2,61.7,57.0,5395,6.69,6.65,4.12,1.0
12985,1.0,Premium,E,SI1,60.5,59.0,5396,6.45,6.4,3.89,1.0
12986,1.0,Very Good,E,SI1,63.2,57.0,5396,6.39,6.36,4.03,1.0
12989,1.22,Very Good,E,SI1,63.4,56.0,5397,6.79,6.76,4.29,1.0
12990,1.02,Ideal,G,SI1,61.5,57.0,5398,6.54,6.44,3.99,1.0
12995,1.26,Ideal,J,SI1,62.0,56.0,5398,6.93,6.9,4.29,1.0
12998,1.09,Ideal,I,VS1,62.7,54.0,5401,6.6,6.54,4.12,1.0
12999,1.09,Premium,G,SI1,60.2,60.0,5402,6.7,6.66,4.02,1.0
13005,1.27,Ideal,F,SI2,62.0,55.0,5405,6.95,6.9,4.3,1.0
13008,1.21,Good,H,SI1,63.8,64.0,5407,6.72,6.63,4.26,1.0
13010,1.49,Good,I,SI2,64.3,59.0,5407,7.2,7.1,4.6,1.0
13012,1.1,Ideal,G,SI2,62.5,55.0,5407,6.61,6.66,4.15,1.0
13014,1.2,Very Good,H,SI2,60.2,58.0,5408,6.88,6.94,4.16,1.0
13016,1.2,Very Good,I,SI1,62.2,55.0,5408,6.75,6.92,4.25,1.0
13021,0.29,Ideal,G,VVS2,61.3,56.0,600,4.23,4.25,2.6,1.0
13022,0.31,Ideal,G,VS1,62.3,54.0,600,4.35,4.38,2.72,1.0
13023,0.31,Good,E,VS1,59.0,63.0,600,4.44,4.47,2.63,1.0
13027,0.26,Premium,H,VVS2,62.4,58.0,600,4.07,4.04,2.53,1.0
13030,0.26,Premium,H,VVS1,59.8,59.0,600,4.17,4.12,2.48,1.0
13031,0.41,Good,G,I1,63.8,56.0,600,4.74,4.7,3.01,1.0
13033,0.38,Premium,J,VS1,62.1,60.0,600,4.6,4.64,2.87,1.0
13037,0.36,Premium,F,SI1,61.1,59.0,600,4.55,4.59,2.79,1.0
13041,0.36,Very Good,F,SI1,61.9,59.0,600,4.51,4.54,2.8,1.0
13042,0.36,Premium,F,SI1,61.5,58.0,600,4.54,4.6,2.81,1.0
13047,0.38,Very Good,I,SI1,59.7,62.0,601,4.7,4.74,2.82,1.0
13055,1.13,Premium,H,SI1,62.1,58.0,5410,6.7,6.66,4.15,1.0
13056,1.0,Premium,F,SI1,60.6,62.0,5410,6.43,6.4,3.89,1.0
13057,1.01,Very Good,E,SI1,59.6,61.0,5411,6.47,6.51,3.87,1.0
13064,1.16,Ideal,H,SI1,64.2,59.0,5411,6.66,6.61,4.26,1.0
13066,1.5,Ideal,I,I1,61.8,57.0,5412,7.31,7.39,4.54,1.0
13067,1.2,Ideal,I,SI1,61.8,56.0,5412,6.77,6.8,4.19,1.0
13070,1.24,Ideal,J,VS2,61.7,55.0,5412,6.91,6.96,4.28,1.0
13071,1.13,Ideal,D,SI2,60.1,55.0,5412,6.79,6.85,4.1,1.0
13074,1.26,Ideal,D,SI2,61.6,56.0,5412,6.99,6.95,4.3,1.0
13075,1.26,Premium,D,SI2,61.9,58.0,5412,6.88,6.81,4.24,1.0
13084,1.04,Ideal,H,VS2,59.3,57.0,5416,6.64,6.58,3.92,1.0
13088,1.29,Premium,H,SI2,61.0,57.0,5418,7.13,6.95,4.31,1.0
13089,1.28,Ideal,I,SI2,61.7,59.0,5419,6.96,6.92,4.28,1.0
13091,1.0,Good,F,VS2,63.1,56.0,5420,6.27,6.31,3.97,1.0
13095,1.21,Premium,H,SI2,62.6,61.0,5421,6.75,6.7,4.21,1.0
